"ASV","Domain","Phylum","Class","Order","Family","Genus","Species","Confidence","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction"
"cbc76aafd3d20b21df4f571304a7dd4f","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella","s__Prevotella sp003447235","1.0000000",15.2941655374189,-5.31886114271974,0.773937591702434,-6.87246775417617,6.31006471909562e-12,5.8336548328039e-09,"Depleted"
"95e656eb74aa19e04ae15bf627859151","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia muciniphila_D_776786","0.9995975",51.3504962568659,-5.18294765346684,0.864333174821255,-5.99646965365952,2.01653272117961e-09,9.32142250365273e-07,"Depleted"
"9726b5db8df3cb5c3871c4f9672faad3","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium","s__Faecalibacterium prausnitzii","0.9943484",13.0988346374966,-4.46158025498807,0.765416060936054,-5.82896085239163,5.57735842491611e-09,1.71875595461165e-06,"Depleted"
"3283125397753cf240c49a1b72ee5ca3","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides_H_857956","s__Bacteroides_H_857956 intestinalis","0.9949322",11.372709068953,-4.22277651609883,0.744868557425653,-5.66915662367761,1.43502140092261e-08,2.94817174478434e-06,"Depleted"
"92b23e51bd4b1a05213b88beb952a119","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Acutalibacteraceae","g__Eubacterium_R","s__Eubacterium_R sp000436835","0.9999788",8.3221302731821,-4.21605264164976,0.691138502626392,-6.10015593926306,1.05965036774537e-09,6.53097843320395e-07,"Depleted"
"6b0b8441595e1addeb4f99104145712d","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Acutalibacteraceae","g__Ruminococcus_E","s__Ruminococcus_E sp003438075","0.9990086",34.1383267206867,-4.15198649590173,0.82030235936949,-5.0615318223552,4.15901303083224e-07,5.91539622616062e-05,"Depleted"
"46d9d50db3093755100ff77b087646c8","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Christensenellales","f__CAG-917","g__CAG-349","s__CAG-349 sp003539515","1.0000000",14.2986974645449,-4.02734695077006,0.75627137534442,-5.32526693732911,1.00804891835338e-07,1.69443859094127e-05,"Depleted"
"c6347bddee9e2a4578420fb0f45f72d8","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Christensenellales","f__CAG-138","g__SFEL01","s__","0.9664320",34.4317343415487,-3.97642532129238,0.799788579692872,-4.97184558801699,6.63185179527907e-07,8.174862646314e-05,"Depleted"
"575c2a28dce404f1d4ae735f7f32f805","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Barnesiella_B","s__Barnesiella_B intestinihominis","0.9999997",5.89007988623595,-3.82497835915207,0.665579877268032,-5.74683593928987,9.09288767211819e-09,2.40182132939236e-06,"Depleted"
"549a32b6214e250e0126024461797d3f","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes_A_871400","s__","0.9982476",8.02833504943816,-3.47058683599707,0.738515830467213,-4.69940750464542,2.60917361063022e-06,0.000241218100302764,"Depleted"
"6a969c9552f9e7eaa7677393e319b256","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","g__Jutongia","s__","0.9977342",9.517488042749,-3.40935540798302,0.679962332628051,-5.01403569636848,5.33000916600731e-07,7.03941924853394e-05,"Depleted"
"8432a08c0ad69b985befc67c0ea93fa3","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Paraprevotella","s__Paraprevotella clara","0.9999999",11.9806451958211,-3.30178283964933,0.738116213212225,-4.4732560815596,7.70374254237976e-06,0.000569768798434407,"Depleted"
"a995542905c164bf86414c058a2a6746","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__Limivicinus","s__Limivicinus sp002320035","1.0000000",12.1293757576645,-3.26314419645921,0.724532384854442,-4.50379343238712,6.67510922622782e-06,0.000514261539970635,"Depleted"
"627a5712a03514efa849507006a5b388","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","g__Eisenbergiella","s__","0.9999730",5.65265240640182,-3.00609993906442,0.655386824705458,-4.58675674540057,4.50184694012956e-06,0.000378359772377252,"Depleted"
"af94bfcdc482222ca77048d409601480","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__Vescimonas","s__Vescimonas fastidiosa","0.9998012",22.8571578300132,-2.98635070591102,0.755950222180347,-3.95045945921896,7.80013099267351e-05,0.00347470884168254,"Depleted"
"3f7e6e8a9d153b9094e369a241cd7441","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__TANB77","f__CAG-508","g__Merdicola","s__Merdicola sp900552655","0.9999900",4.09663668999854,-2.92981771588749,0.631901435790836,-4.63651061691412,3.54340003033188e-06,0.000311987936003983,"Depleted"
"bcae70e9b353e16b1efe12af6fde5132","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Barnesiella_B.1","s__Barnesiella_B intestinihominis","0.9999992",7.88405254083487,-2.83191131597812,0.726327959996613,-3.89894300088809,9.6613512055369e-05,0.00396974186200838,"Depleted"
"bb9da4595e35ac40b3d013e5ed739598","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","g__Anaerostipes","s__Anaerostipes hadrus","0.9996648",4.49349113713182,-2.79657157258881,0.646186879360596,-4.32780618411198,1.50601903711029e-05,0.000994510428434619,"Depleted"
"f119128dcf0f88536b48d09f4e7b82ce","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Barnesiella_B.2","s__Barnesiella_B intestinihominis","0.9999969",17.2466950935094,-2.77485790532558,0.757340619958248,-3.6639496577888,0.000248355619108816,0.00791740585745175,"Depleted"
"dba5d034f3f9c86111a710a08802a5c6","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Acutalibacteraceae","g__Pseudoruminococcus","s__","0.9405204",5.18354547458694,-2.67721962643727,0.678183657955822,-3.94763217165529,7.8927945565531e-05,0.00347470884168254,"Depleted"
"5ebfefd23b3075c500c56a143905447c","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes_A_871400.1","s__Alistipes_A_871400 putredinis","0.9879867",3.21032985143548,-2.57654566300457,0.59799242816914,-4.30865934355243,1.6424712235348e-05,0.00104721699735029,"Depleted"
"1f88276f0c3949061ef27ed8571826d1","d__Bacteria","p__Bacillota_I","c__Bacilli_A","o__ML615J-28","f__CAG-313","g__CAG-313","s__CAG-313 sp003539625","0.9999998",4.13786026388519,-2.55554410284825,0.637016533630062,-4.01173904904067,6.02731029870919e-05,0.00309569353953147,"Depleted"
"aa735a9e96e8ee3d72f75978ad4be8df","d__Bacteria","p__Desulfobacterota_G_459543","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Desulfovibrio_446353","s__Desulfovibrio fairfieldensis","0.9766909",8.4353206148798,-2.54329808318266,0.676267653975337,-3.76078623342736,0.000169380133955881,0.00569425213971679,"Depleted"
"a0bc2fcf42a74bebbac68739ef666241","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides_B_862066","s__Parabacteroides_B_862066 johnsonii","0.9951350",4.15333490454231,-2.53853290348194,0.659139363999067,-3.85128402600687,0.000117500127459358,0.00443383134025209,"Depleted"
"9e8f2093b1a1293cc1fdfbdd70b8f552","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","g__Eisenbergiella.1","s__","0.9999844",7.73982622117815,-2.4773440507011,0.633098582717012,-3.91304627483022,9.11390611122354e-05,0.00382991190901189,"Depleted"
"ca033ba99529a006cd0c11e92fb8e942","d__Bacteria","p__Bacillota_I","c__Bacilli_A","o__Erysipelotrichales","f__Coprobacillaceae","g__Catenibacterium",NA,"0.9999999",5.5447230622292,-2.39458090396838,0.695681337909023,-3.44206574689161,0.000577289921914635,0.0150339305016924,"Depleted"
"4e29e0aed5b77af3e28a880e0bcdcefd","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__Vescimonas.1","s__Vescimonas fastidiosa","0.9995647",14.9539376041059,-2.39219330821747,0.725020523557595,-3.29948357389835,0.000968628960700931,0.0223874368542003,"Depleted"
"2dab20b80423952e452cdf186fb581f2","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__UBA644","g__UBA644","s__UBA644 sp002299265","1.0000000",2.99390608853055,-2.36592031723771,0.566900439966023,-4.17343178879789,3.00045520600244e-05,0.00173370052371829,"Depleted"
"4e9fb807e16cd29b1be136642cf909a1","d__Bacteria","p__Bacillota_I","c__Bacilli_A","o__RF39","f__UBA660","g__CAG-914","s__CAG-914 sp000437895","1.0000000",2.49916648632208,-2.33667623704709,0.552905018101628,-4.22618019469231,2.37691677661219e-05,0.00146497303998531,"Depleted"
"1456be66470133cc315e8bb59d3d7be8","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","g__Butyrivibrio_A_180067","s__Butyrivibrio_A_180067 crossotus","0.9563313",3.32863696853331,-2.32679317680431,0.618201340078904,-3.76381127952153,0.000167343192686816,0.00569425213971679,"Depleted"
"ea52eba8dcf4e749d071cd748af06c0d","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Christensenellales","f__Aristaeellaceae","g__Limiplasma","s__Limiplasma merdipullorum","0.9999934",4.03480132916856,-2.3218270062159,0.600640761769409,-3.86558348017556,0.000110823933266037,0.00426903026268547,"Depleted"
"a3419137acc960fb5cff81818fdb4be0","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__TANB77","f__CAG-508","g__CAG-269","s__CAG-269 sp000431335","0.9995991",6.65754103506781,-2.27689832998045,0.651352223643075,-3.49564835634634,0.000472911477188976,0.012859019431212,"Depleted"
"d2f8613c1ee7a06f757de22f25fbe34a","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","Unknown_f__Oscillospiraceae_88309",NA,"1.0000000",4.5139970178166,-2.22117541942514,0.587847823994317,-3.77848709948889,0.000157784024542513,0.00550457851658693,"Depleted"
"441e348264e7eba489d5dbd9de07cc7a","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__Lawsonibacter","s__Lawsonibacter sp000177015","0.9906561",4.24091919860183,-2.21338013960075,0.634085526226866,-3.49066497822698,0.000481820029640458,0.0129113802145682,"Depleted"
"5dcf3164c9a2c22084aee282175da0f9","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__Dysosmobacter","s__Dysosmobacter sp000403435","1.0000000",58.3804084213601,-2.20722765670892,0.568287022858662,-3.88400151318935,0.000102751267263772,0.00413015419936336,"Depleted"
