"ASV","Domain","Phylum","Class","Order","Family","Genus","Species","Confidence","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction"
"549a32b6214e250e0126024461797d3f","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes_A_871400","s__","0.9982476",8.02833504943816,-3.40491028021456,0.510430170587706,-6.67066814701445,2.54641433734622e-11,6.22416418742768e-09,"Depleted"
"8432a08c0ad69b985befc67c0ea93fa3","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Paraprevotella","s__Paraprevotella clara","0.9999999",11.9806451958211,-3.35359385737899,0.482562448430966,-6.94955413187056,3.66442497516497e-12,1.56745778312682e-09,"Depleted"
"1eed46da7fdf96aebeed716d1e5cf4d1","d__Bacteria","p__Bacillota_I","c__Bacilli_A","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Holdemanella","s__Holdemanella biformis","0.9999878",5.07572466427986,-3.03077853629068,0.443668325026759,-6.83118078377104,8.42185187229317e-12,2.88195771069872e-09,"Depleted"
"2ac0723902b255b9e757e0e0e3aa5625","d__Bacteria","p__Bacillota_C","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium_A_39470","s__Phascolarctobacterium_A_39470 succinatutens_B","0.9998249",7.69856050558157,-2.98203133194862,0.459585161244491,-6.48852831513034,8.66788683355251e-11,1.64786159691204e-08,"Depleted"
"36e043269324b8606cf8ed903b6e892a","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Paraprevotella.1","s__Paraprevotella clara","1.0000000",3.8595484756937,-2.89609708108448,0.395961750235275,-7.31408293695959,2.59145056812314e-13,1.47799064068623e-10,"Depleted"
"8cfaec510ef32f0e15a059dc30134564","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","g__Butyrivibrio_A_180067","s__Butyrivibrio_A_180067 crossotus","0.9999956",4.21474125149415,-2.61406530432435,0.452504981537148,-5.77687630187944,7.61001902031098e-09,6.2003535922629e-07,"Depleted"
"c99b164a6925508c75c812c1b713812f","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides_H_857956","s__Bacteroides_H_857956 salyersiae","0.9972072",6.64729671089072,-2.59310947790227,0.439048022127931,-5.90620922361583,3.50069335128692e-09,3.52334489650113e-07,"Depleted"
"92b23e51bd4b1a05213b88beb952a119","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Acutalibacteraceae","g__Eubacterium_R","s__Eubacterium_R sp000436835","0.9999788",8.3221302731821,-2.56701622430426,0.479411421019075,-5.35451620832815,8.57856312904831e-08,5.64535442838525e-06,"Depleted"
"0f6a347633b7f4d1244f1f2d792529a0","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Ruminococcaceae","g__Huintestinicola","s__Huintestinicola butyrica","1.0000000",2.83416473971976,-2.4249598090653,0.395760509207022,-6.12734154280362,8.93595189500063e-10,1.38994669930419e-07,"Depleted"
"efcfbef97d9877c40f3aad65b38d78d7","d__Bacteria","p__Bacillota_C","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Acidaminococcus","s__Acidaminococcus intestini","0.8869862",4.74074976456283,-2.39903497441295,0.409875127381027,-5.85308747506108,4.82530164421349e-09,4.34531111223646e-07,"Depleted"
