"ASV","Domain","Phylum","Class","Order","Family","Genus","Species","Confidence","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction"
"575c2a28dce404f1d4ae735f7f32f805","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Barnesiella_B","s__Barnesiella_B intestinihominis","0.9999997",5.89007988623595,-2.95543852477893,0.374567771034232,-7.89026380090995,3.01548430470008e-15,2.08068417024306e-12,"Depleted"
"9726b5db8df3cb5c3871c4f9672faad3","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium","s__Faecalibacterium prausnitzii","0.9943484",13.0988346374966,-2.51150091323132,0.433481605719725,-5.7937888945977,6.88159503811814e-09,6.33106743506869e-07,"Depleted"
"4e9fb807e16cd29b1be136642cf909a1","d__Bacteria","p__Bacillota_I","c__Bacilli_A","o__RF39","f__UBA660","g__CAG-914","s__CAG-914 sp000437895","1.0000000",2.49916648632208,-2.33671293223861,0.318313822335238,-7.34090940536554,2.12147379424757e-13,7.31908459015411e-11,"Depleted"
"cbc76aafd3d20b21df4f571304a7dd4f","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella","s__Prevotella sp003447235","1.0000000",15.2941655374189,-2.24711476635134,0.431528213276346,-5.20734148363159,1.91565362327144e-07,1.05744080004583e-05,"Depleted"
"a4beb410f9fa6fae16aeee4a35647cc2","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","Unknown_f__Rikenellaceae",NA,"1.0000000",8.81158620178272,-2.22777972783761,0.374677430494961,-5.94586048296168,2.75008312269849e-09,3.45010428120356e-07,"Depleted"
"71d6c6e652b66dae31deef2874f3794d","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Phocaeicola_A","s__Phocaeicola_A massiliensis","0.9982368",76.7144372156306,2.06240620345709,0.507625129874572,4.06285284569479,4.84765916632256e-05,0.00127278649324717,"Enriched"
"a2c2b01479011f18219d383177eb3432","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella.1","s__Prevotella rara","1.0000000",3.06604734283219,2.10723116454247,0.372787209835729,5.65263804375432,1.58003808846711e-08,1.36278285130288e-06,"Enriched"
"fc158d7154b69886e5a00dfb17ccc8f7","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella.2","s__","0.9993361",67.1742146981025,2.22745706510343,0.54421806080534,4.09294954637707,4.25920421871006e-05,0.00115249055329802,"Enriched"
"18f4f0fa87b2d71da0960a0a97789d8a","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides_H_857956","s__Bacteroides_H_857956 stercoris","0.9999974",136.063157861301,2.34933341687774,0.524953921746834,4.47531358382867,7.62992451800986e-06,0.000272541115247308,"Enriched"
"e79796dfc35a010e73fba85930ef19b1","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__Faecousia","s__Faecousia sp000434635","0.9973042",3.71511202483273,2.37146824209987,0.355021666364609,6.67978455056982,2.39293783464823e-11,4.12781776476819e-09,"Enriched"
"0f6a347633b7f4d1244f1f2d792529a0","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Ruminococcaceae","g__Huintestinicola","s__Huintestinicola butyrica","1.0000000",2.83416473971976,2.42501660228487,0.346038631841395,7.00793604858652,2.41859301699183e-12,6.67531672689745e-10,"Enriched"
"efcfbef97d9877c40f3aad65b38d78d7","d__Bacteria","p__Bacillota_C","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Acidaminococcus","s__Acidaminococcus intestini","0.8869862",4.74074976456283,2.42893574714152,0.361970538666868,6.71031337546766,1.94206882417521e-11,3.8286499676597e-09,"Enriched"
"36e043269324b8606cf8ed903b6e892a","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Paraprevotella","s__Paraprevotella clara","1.0000000",3.8595484756937,2.50621121888869,0.333305935534594,7.51925168949946,5.50906411260044e-14,2.5341694917962e-11,"Enriched"
"aa73bd2cfc0759ebb98aaef8450ca0e8","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__Hominicoprocola","s__Hominicoprocola fusiformis","0.9866755",7.6571243799681,2.6509853029274,0.423315973170244,6.26242681813772,3.79031772984973e-10,5.23063846719263e-08,"Enriched"
"fd4d5be53f7b770860c049540825b711","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella.3","s__","0.8824240",215.511470498713,2.65113229348854,0.575538722185248,4.60634913220526,4.09800130332609e-06,0.000161578337102572,"Enriched"
