"ASV","Domain","Phylum","Class","Order","Family","Genus","Species","Confidence","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction"
"cbc76aafd3d20b21df4f571304a7dd4f","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella","s__Prevotella sp003447235","1.0000000",45.2026698430101,-7.14153572348868,1.45163176277316,-4.91966069263024,8.66943684539851e-07,0.000297421120826611,"Depleted"
"d22e511f3ef5021ae99f54cf376e23d8","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Phocaeicola_A","s__Phocaeicola_A vulgatus","0.7551592",11.8804660154338,-5.48375708225815,1.3803162974328,-3.97282644018418,7.1024801355948e-05,0.00900519718244625,"Depleted"
"2ea082fe7de3327a025e61006313746b","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales_737866","f__Pasteurellaceae","g__Haemophilus_D_735815",NA,"0.9618011",7.02869175458604,-4.5857170310938,1.08895688604833,-4.2111098151321,2.54119170522107e-05,0.00358554058689972,"Depleted"
"692d2c7faf8482398a2cdfee529c0292","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__Faecousia","s__","0.9992423",5.38610588865293,-3.86894698095629,1.13684940011497,-3.40321856225199,0.000665969838951756,0.0490754417200574,"Depleted"
"9fc9eb6bd14d89565b78ba1b77c74ad8","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","g__G11","s__","0.9771486",1.54230952480027,-2.70095591050588,0.684197894096123,-3.94762382902982,7.89306951738803e-05,0.00945157591571232,"Depleted"
"3b749f9bcee8dc29d2a55e844b6ece4e","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Butyricimonas","s__","0.9978965",1.12956771304365,-2.7005906152276,0.44080261846377,-6.12653033831641,8.98160873605921e-10,2.16366954451666e-06,"Depleted"
"6418266c35af88aab1f3d4f2b6b4c1db","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Ruminococcaceae","g__Gemmiger_A_73129","s__","0.9985750",1.51497406689852,-2.64612630095126,0.707207883632124,-3.7416527193689,0.000182814028905905,0.017615959825373,"Depleted"
"160ada2b7540ed91eb96680104761c15","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Ruminococcaceae","g__Gemmiger_A_73129.1",NA,"0.9999979",1.2491902215423,-2.58542147942884,0.542426818924538,-4.76639684696071,1.8754968056781e-06,0.000502007978319838,"Depleted"
"017605313b87ed44e4b76d47a688ad1a","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__UBA2658","s__UBA2658 sp009929315","0.8801617",1.1188009571089,-2.58533241818318,0.443333479948393,-5.83157495455595,5.49066373260169e-09,6.61350446591873e-06,"Depleted"
"73c6cc85306628dfe817fffebcb2f492","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus_C_58660","s__Ruminococcus_C_58660 sp000433635","0.9999933",1.14051899898549,-2.47431570517898,0.435060549676968,-5.68729044041376,1.29070838024825e-08,1.03643882933935e-05,"Depleted"
"2b9b7190a45757a983b12e2a6690af49","d__Bacteria","p__Verrucomicrobiota","c__Lentisphaeria","o__Victivallales","f__UBA1829","g__UBA11452","s__","0.9998953",1.09699740132658,-2.32216773685702,0.454847565055312,-5.10537576819747,3.30137819967406e-07,0.00019882550207537,"Depleted"
"24dfdbc0be9b006a52a4d43131a4889c","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Ruminococcaceae","g__Pygmaiobacter","s__","0.9999365",1.14585286890218,-2.32211351988479,0.468780892589284,-4.9535157183108,7.28844678268703e-07,0.000297421120826611,"Depleted"
"bf8f171ac24323e5e6ea1969f8f61396","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides_H_857956","s__Bacteroides_H_857956 cellulosilyticus","0.9997550",1.09163652701861,-2.24827553324828,0.459373505072672,-4.89422116953089,9.86957967225385e-07,0.000297421120826611,"Depleted"
"ebe7ab75107bc043cb8da38aa06ab776","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__Dysosmobacter","s__","0.9918961",1.09156901604041,-2.24817786822663,0.459367421817385,-4.89407337449446,9.87699861607674e-07,0.000297421120826611,"Depleted"
