"ASV","Domain","Phylum","Class","Order","Family","Genus","Species","Confidence","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction"
"3a9fc45622619d3fd38007c1852eb7cd","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella","s__","0.9970913",67.1984370119138,-5.51931332973273,0.722863382568522,-7.63534778884659,2.25211637989305e-14,2.28589812559145e-11,"Depleted"
"18f4f0fa87b2d71da0960a0a97789d8a","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides_H_857956","s__Bacteroides_H_857956 stercoris","0.9999974",136.162324332417,-4.80153857444428,0.691966709509835,-6.93897337611158,3.94959550336728e-12,1.60353577436712e-09,"Depleted"
"d2471d5a49f6324ffea7b3725e78c68a","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Anaerotignaceae","g__Anaerotignum_189125","s__Anaerotignum lactatifermentans","0.9999074",7.86601332127676,-3.58677202390944,0.589825529109821,-6.08107287136703,1.19381016911264e-09,2.42343464329865e-07,"Depleted"
"07d2d1d47a17be2d79c7c310e113bd15","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides_H_857956.1","s__Bacteroides_H_857956 finegoldii","0.8206279",15.5332650893187,-3.49994142266873,0.61740695749819,-5.66877548133071,1.43821682294611e-08,2.245830885062e-06,"Depleted"
"2de419f4364b898fcc585909c717c5bc","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Phocaeicola_A","s__Phocaeicola_A vulgatus","0.9972991",6.01709479263112,-3.49400054914672,0.548854723582633,-6.36598429241847,1.94041291006936e-10,4.92379775930099e-08,"Depleted"
"af94bfcdc482222ca77048d409601480","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__Vescimonas","s__Vescimonas fastidiosa","0.9998012",16.6966504630559,-3.22063570141236,0.617240488793139,-5.21779721176347,1.81063540124988e-07,2.04199436918736e-05,"Depleted"
"c99b164a6925508c75c812c1b713812f","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides_H_857956.2","s__Bacteroides_H_857956 salyersiae","0.9972072",5.93004259584953,-2.99580583042228,0.563088947435768,-5.32030657690011,1.03592534179794e-07,1.31433027740614e-05,"Depleted"
"549a32b6214e250e0126024461797d3f","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes_A_871400","s__","0.9982476",7.26975558295665,-2.86989915456462,0.624798794151757,-4.593317371012,4.36254816829581e-06,0.000276749149426265,"Depleted"
"72f2fc64b923bc6569fbbc5c32ee3753","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae_A_595427","g__Sutterella","s__Sutterella wadsworthensis_A_565807","0.7583407",8.06483824751916,-2.71450350689148,0.565908789826948,-4.79671557623545,1.61288362342966e-06,0.000130966150222489,"Depleted"
"fd4d5be53f7b770860c049540825b711","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella.1","s__","0.8824240",293.544060231188,-2.57834212814991,0.770172067021976,-3.34774817024926,0.000814710066835535,0.0142502525613519,"Depleted"
"e87d7cf0667e5a67b4e84981038e5cf6","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","g__Enterocloster","s__","0.9814517",6.95850082039889,-2.57180769464937,0.552435785914164,-4.65539662748961,3.23357613859193e-06,0.000218805318711387,"Depleted"
"40b1d8914d1cfdf6251ccc2d3b0db04b","d__Bacteria","p__Bacillota_C","c__Negativicutes","o__Veillonellales","f__Dialisteraceae","g__Dialister_37762","s__Dialister hominis","0.9765878",3.73074542467278,-2.4978280474851,0.527738902638747,-4.73307545643443,2.21143230528175e-06,0.000160328842132927,"Depleted"
"8cfaec510ef32f0e15a059dc30134564","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","g__Butyrivibrio_A_180067","s__Butyrivibrio_A_180067 crossotus","0.9999956",4.38116599873232,-2.48501397237643,0.567936085768106,-4.37551695454528,1.21145024815049e-05,0.000655171118874688,"Depleted"
"bb9da4595e35ac40b3d013e5ed739598","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","g__Anaerostipes","s__Anaerostipes hadrus","0.9996648",5.38743810528952,-2.38053124956566,0.564077551439902,-4.220219796886,2.44064242695589e-05,0.00101112329116744,"Depleted"
"7a6d94f7609eff83a45c74a382759c1e","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus_C_58660","s__Ruminococcus_C_58660 callidus","0.9996928",7.76038732269634,-2.37762786859707,0.561482958637896,-4.23455036705828,2.29009454560228e-05,0.000968519151577632,"Depleted"
"32be2e6e9c749f94bc9e0b979d151f66","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__Limivicinus","s__Limivicinus sp002320035","1.0000000",4.72392386241003,-2.35163747138949,0.535922772399963,-4.38801557332303,1.14389586730322e-05,0.000655171118874688,"Depleted"
"4c97c9daac0b156e64aa577efb5c5fae","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Acutalibacteraceae","g__","s__","0.9999907",12.5740166234786,-2.34343039943877,0.591660082046907,-3.96077151483913,7.47079920133627e-05,0.00240725752043058,"Depleted"
"11473fb539a81a01ed9a8e24879552f0","d__Bacteria","p__Bacillota_C","c__Negativicutes","o__Selenomonadales","f__Selenomonadaceae_42771","g__Megamonas",NA,"0.9973255",3.00338901437782,-2.31564261387313,0.479233981816101,-4.83196664205195,1.3519091053997e-06,0.000119487962643044,"Depleted"
"64d076afa105c5d78eacea8b57bb0c56","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Barnesiella_B","s__Barnesiella_B intestinihominis","0.9999999",16.7369625362457,-2.30392132415853,0.609707216484817,-3.77873389368995,0.000157627756912741,0.00426645795377152,"Depleted"
"d22e511f3ef5021ae99f54cf376e23d8","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Phocaeicola_A.1","s__Phocaeicola_A vulgatus","0.7551592",11.8804660154338,-2.18104959799133,0.647140298551765,-3.37028864200282,0.00075089484741093,0.013254926436906,"Depleted"
