"ASV","Domain","Phylum","Class","Order","Family","Genus","Species","Confidence","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction"
"07b3b3fd19823989e27dfa162390aea3","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia muciniphila_D_776786","0.9998367",382.252123929884,-6.08649719056654,1.61675368760265,-3.76464098225852,0.000166788545279193,0.0156225270744844,"Depleted"
"c6347bddee9e2a4578420fb0f45f72d8","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Christensenellales","f__CAG-138","g__SFEL01","s__","0.9664320",34.1943238026494,-5.63390796133663,1.63228346427036,-3.45154998176436,0.000557376511169639,0.0396100705310528,"Depleted"
"dccd97f0246940e511109cca56752886","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__TANB77","f__CAG-508","g__CAG-269","s__CAG-269 sp000431335","0.9829497",11.4719851437524,-4.74299534234014,1.37255628720997,-3.45559259502673,0.000549084559424619,0.0396100705310528,"Depleted"
"13c4d2437e3b932e1de8bc0596fe6bd8","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Cellulosilyticaceae","g__Cellulosilyticum","s__Cellulosilyticum lentocellum","0.9964886",1.08071224546805,2.08762604151987,0.406002473038482,5.14190474234376,2.71967008999022e-07,4.07587890819867e-05,"Enriched"
"e0a48af4e6602ff11f6d2a49a493b616","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides_B_862066",NA,"0.9999993",1.08071224546805,2.08762604151987,0.406002473038482,5.14190474234376,2.71967008999022e-07,4.07587890819867e-05,"Enriched"
"8698a00f108c75bf4ab8422beb91e60c","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__Faecousia","s__","0.9951787",1.08077075498249,2.08769952632573,0.406005060331763,5.14205297002897,2.71752469159088e-07,4.07587890819867e-05,"Enriched"
"52dc880ff5a3804155f54dffa5c52a95","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","Unknown_f__Lachnospiraceae",NA,"0.9998479",1.24909120544093,2.16984393193587,0.488655067985361,4.44044086328983,8.97747729536086e-06,0.0010621773136827,"Enriched"
"f3c16cf8c14f4e777d68fc85380c801b","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Ruminococcaceae","Unknown_f__Ruminococcaceae",NA,"0.9939950",1.08614063075423,2.17007965455018,0.398755027714662,5.44213741200281,5.26450399145509e-08,9.8621708106592e-06,"Enriched"
"910b4f114ecf2279fc2e780331a5a60f","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Christensenellales","f__UBA1242","g__","s__","0.7347861",1.08614063075423,2.17007965455018,0.398755027714662,5.44213741200281,5.26450399145509e-08,9.8621708106592e-06,"Enriched"
"1ba04d67565878a96f086f632d8feade","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","g__Anaerobutyricum","s__Anaerobutyricum hallii","0.8320425",1.08614063075423,2.17007965455018,0.398755027714662,5.44213741200281,5.26450399145509e-08,9.8621708106592e-06,"Enriched"
"ebe7ab75107bc043cb8da38aa06ab776","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__Dysosmobacter","s__","0.9918961",1.09156901604041,2.24807258524365,0.392438750844654,5.72846738606999,1.01342031023395e-08,3.25452693915132e-06,"Enriched"
"bf8f171ac24323e5e6ea1969f8f61396","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides_H_857956","s__Bacteroides_H_857956 cellulosilyticus","0.9997550",1.09163652701861,2.24817025026058,0.392444352428136,5.72863448371897,1.01242274266231e-08,3.25452693915132e-06,"Enriched"
"9468641a627977ca9c545e14a198c92d","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","g__Blautia_A_141781","s__","0.8498742",1.81907616122149,2.27728140833661,0.670232294723005,3.39774944637331,0.000679426151520993,0.0449220584887998,"Enriched"
"24dfdbc0be9b006a52a4d43131a4889c","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Ruminococcaceae","g__Pygmaiobacter","s__","0.9999365",1.14585286890218,2.32200822825917,0.401798998082316,5.77902941356628,7.51327918947181e-09,3.25452693915132e-06,"Enriched"
"2b9b7190a45757a983b12e2a6690af49","d__Bacteria","p__Verrucomicrobiota","c__Lentisphaeria","o__Victivallales","f__UBA1829","g__UBA11452","s__","0.9998953",1.09699740132658,2.3220624513477,0.386979027263314,6.00048655806788,1.96727137265739e-09,1.10560651143346e-06,"Enriched"
"9fc9eb6bd14d89565b78ba1b77c74ad8","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","g__G11","s__","0.9771486",1.54230952480027,2.34063060145819,0.614795975581238,3.80716643313308,0.000140568149217684,0.013750531096062,"Enriched"
"19e85fec6739579585548db4e554c0a8","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__UBA6398","s__UBA6398 sp002451695","0.7957707",1.31981773977706,2.45979496515142,0.522074830917778,4.71157546673383,2.45809036129404e-06,0.000345361695761812,"Enriched"
"ea4389ef7dddca1b7dc6eda649126ead","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Christensenellales","f__Aristaeellaceae","g__Limiplasma","s__Limiplasma merdipullorum","0.9999766",1.85165321237995,2.50094910446405,0.674721027075356,3.70664171428696,0.000210025735686699,0.018885514152948,"Enriched"
"017605313b87ed44e4b76d47a688ad1a","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__UBA2658","s__UBA2658 sp009929315","0.8801617",1.1188009571089,2.58522712329149,0.372515984270458,6.93990924538298,3.92351914349243e-12,2.94002367819033e-09,"Enriched"
"160ada2b7540ed91eb96680104761c15","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Ruminococcaceae","g__Gemmiger_A_73129",NA,"0.9999979",1.2491902215423,2.6070125066507,0.477456486585421,5.46020963144729,4.75572706218636e-08,9.8621708106592e-06,"Enriched"
"6f2b3d842bdfec0667adb24380fefd4c","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__UBA6382","s__UBA6382 sp002439755","0.9356403",1.29784765691516,2.6436581405725,0.472469437509633,5.59540560868257,2.20106574242244e-08,6.18499473620706e-06,"Enriched"
"73c6cc85306628dfe817fffebcb2f492","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus_C_58660","s__Ruminococcus_C_58660 sp000433635","0.9999933",1.14051899898549,2.6441321508929,0.374969020521574,7.05160161555472,1.76869989830391e-12,1.98801868569359e-09,"Enriched"
"3b749f9bcee8dc29d2a55e844b6ece4e","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Butyricimonas","s__","0.9978965",1.12956771304365,2.70048531596936,0.368951474260266,7.31935092923461,2.49173203186237e-13,5.6014136076266e-10,"Enriched"
"692d2c7faf8482398a2cdfee529c0292","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__Faecousia.1","s__","0.9992423",5.38610588865293,3.73368522910549,1.07204976397351,3.48275365060176,0.000496284823827776,0.0384706304815462,"Enriched"
"cbc76aafd3d20b21df4f571304a7dd4f","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella","s__Prevotella sp003447235","1.0000000",45.2026698430101,4.9544408961232,1.38048278809219,3.58891899186238,0.000332051992549604,0.0287097261250581,"Enriched"
