"ASV","Domain","Phylum","Class","Order","Family","Genus","Species","Confidence","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction"
"575c2a28dce404f1d4ae735f7f32f805","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Barnesiella_B","s__Barnesiella_B intestinihominis","0.9999997",5.85970312445512,-3.73631953768916,0.350990205132345,-10.6450820651258,1.83822225633973e-26,2.40990937806138e-23,"Depleted"
"f104c2592f0dc5904872e008cc482a63","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","g__Butyribacter","s__Butyribacter intestini","0.9999834",10.429516388598,-3.16958873002028,0.394242640314292,-8.03969029705531,9.00658147229914e-16,2.95190707754604e-13,"Depleted"
"dccd97f0246940e511109cca56752886","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__TANB77","f__CAG-508","g__CAG-269","s__CAG-269 sp000431335","0.9829497",11.4719851437524,-3.12691356663676,0.377623392626905,-8.28050811387678,1.22650811413836e-16,5.35984045878465e-14,"Depleted"
"cbc76aafd3d20b21df4f571304a7dd4f","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella","s__Prevotella sp003447235","1.0000000",45.2026698430101,-2.53054462178222,0.437453256353107,-5.78472004729939,7.26331887546909e-09,5.60130061514116e-07,"Depleted"
"d22e511f3ef5021ae99f54cf376e23d8","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Phocaeicola_A","s__Phocaeicola_A vulgatus","0.7551592",11.8804660154338,-2.37451695248182,0.409538051551556,-5.79803743140799,6.70954782331762e-09,5.49763574773087e-07,"Depleted"
"65030e76ca6c853f06dcb313e98944be","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","g__COE1","s__","0.9999512",6.897280837071,-2.23771025740865,0.353844622677374,-6.32399113621385,2.54892352365023e-10,4.17704842438182e-08,"Depleted"
"92b23e51bd4b1a05213b88beb952a119","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Acutalibacteraceae","g__Eubacterium_R","s__Eubacterium_R sp000436835","0.9999788",8.77436120729307,-2.12493718964809,0.381639563175527,-5.567916418222,2.57803424680007e-08,1.68990144877744e-06,"Depleted"
"a4beb410f9fa6fae16aeee4a35647cc2","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","Unknown_f__Rikenellaceae",NA,"1.0000000",10.6271936282109,-2.10434870926061,0.359245552001742,-5.85768897495051,4.69352603702271e-09,4.39515188181198e-07,"Depleted"
"a2c2b01479011f18219d383177eb3432","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella.1","s__Prevotella rara","1.0000000",4.77937343933187,2.0091827970387,0.373493224145045,5.3794357357831,7.47196606888191e-08,4.11179505781988e-06,"Enriched"
"11473fb539a81a01ed9a8e24879552f0","d__Bacteria","p__Bacillota_C","c__Negativicutes","o__Selenomonadales","f__Selenomonadaceae_42771","g__Megamonas",NA,"0.9973255",3.00338901437782,2.13366296652746,0.316632201481449,6.73861646586969,1.59901860421232e-11,3.49385565020393e-09,"Enriched"
"33704805d89a7a989b230daaf68de083","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Phocaeicola_A.1","s__Phocaeicola_A plebeius","0.9999957",32.2973762569336,2.27011579457977,0.476838458355258,4.76076489805373,1.92860610576064e-06,7.22400744186343e-05,"Enriched"
"3a9fc45622619d3fd38007c1852eb7cd","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella.2","s__","0.9970913",67.1984370119138,2.59175204317593,0.493083888091274,5.25620914771438,1.47055047307171e-07,7.71156668078803e-06,"Enriched"
"e79796dfc35a010e73fba85930ef19b1","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__Faecousia","s__Faecousia sp000434635","0.9973042",3.65422817235498,2.62932853474321,0.328742764937922,7.99813354140196,1.26319332029058e-15,3.31209288580189e-13,"Enriched"
"fd4d5be53f7b770860c049540825b711","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella.3","s__","0.8824240",293.544060231188,3.39132142963082,0.541086792219367,6.26761081289879,3.66629709317401e-10,5.34057276572347e-08,"Enriched"
"2de419f4364b898fcc585909c717c5bc","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Phocaeicola_A.2","s__Phocaeicola_A vulgatus","0.9972991",6.01709479263112,3.53762674826749,0.37267661860646,9.49248375574417,2.25593777586778e-21,1.47876721208133e-18,"Enriched"
