"ASV","Domain","Phylum","Class","Order","Family","Genus","Species","Confidence","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction"
"3f815af7ffc5e71f9205177b8e113ca0","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Lepagella","s__Lepagella muris_A","0.9991734",11.6606351682287,-10.9382684190476,0.626255349172694,-17.4661476879957,2.59431189124376e-68,8.67537896431915e-65,"Depleted"
"b0bae502e8b3ce1b53e1be63fdf3a04b","d__Bacteria","p__Bacillota_C","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium_A_40086","s__Phascolarctobacterium_A_40086 faecium","0.9993589",3.53444141092182,-7.13202990444948,1.70731244827694,-4.1773431170418,2.94933951996941e-05,0.0044829960703535,"Depleted"
"0f6a347633b7f4d1244f1f2d792529a0","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Ruminococcaceae","g__Huintestinicola","s__Huintestinicola butyrica","1.0000000",2.93179162805471,-6.82267065703511,1.50636933840639,-4.52921503583768,5.92032222871808e-06,0.00104197671225438,"Depleted"
"752ca518b7ce839b6b650d65758f5edf","d__Bacteria","p__Bacillota_C","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium_A_40086.1","s__Phascolarctobacterium_A_40086 faecium","0.9967400",1.47698437135903,-6.44236944844978,0.533288595859946,-12.080456057871,1.33974571945948e-33,2.24005484293626e-30,"Depleted"
"1b260463075d6373000c7f7c5c0a51bc","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Butyricimonas","s__Butyricimonas synergistica","0.9999947",1.38470182149401,-5.28482671968451,0.779755205579629,-6.77754592963063,1.22234300053379e-11,4.08751499378499e-09,"Depleted"
"cbe92eb8bf470dbf865ba6f2509d5f3b","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Butyricicoccaceae","g__Agathobaculum","s__Agathobaculum butyriciproducens","0.9943399",1.14042448361601,-4.64328272759961,0.479709640416939,-9.67936088081097,3.69015569086759e-22,4.11329354342041e-19,"Depleted"
"b08cd098e763541173fe2c64df5aafd7","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","g__COE1","s__","0.9998934",1.12959021670305,-4.1693514832273,0.511522726549873,-8.15086264367727,3.61337352279751e-16,2.41662421204697e-13,"Depleted"
"4807c543021fb97583c4871d279585cc","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__Evtepia","s__","0.9822714",1.16213802476072,-4.16935136463653,0.537061321232743,-7.76326873636406,8.27679757644403e-15,4.61293518260481e-12,"Depleted"
"62f7062187df4e74e8fbb65d3c0891ce","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella","s__Prevotella buccae","1.0000000",1.09156451530852,-4.08688937055626,0.500739440185857,-8.16170855053748,3.30318456058083e-16,2.41662421204697e-13,"Depleted"
"ec3408f8cb9d0be6d4f04afad3550d7c","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinilabiliaceae","g__JC017","s__JC017 sp004296775","0.7606843",1.61286503132494,-4.08673722342036,1.04413624757376,-3.91398845975958,9.07839762055084e-05,0.0112437635715267,"Depleted"
"4033b008d2d0d3a9f0e71008a133a132","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__TANB77","f__CAG-508","g__","s__","0.9984453",1.08614063075423,-3.90631709995912,0.514798817082168,-7.5880459906644,3.24765652546095e-14,1.55145191730592e-11,"Depleted"
"34fd512390f8b083b6d093d693de5473","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Acutalibacteraceae","g__UBA5905","s__","0.7333122",1.17306680704316,-3.90631678637606,0.588585864644428,-6.6367832138407,3.2060262377368e-11,9.74631976271988e-09,"Depleted"
"f8d65540d8bb81ccae258425d43a6155","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes_A_871400","s__Alistipes_A_871400 timonensis","0.9993105",1.08071224546805,-3.80678141327289,0.522557327666976,-7.284906768543,3.21892828499687e-13,1.34551202312869e-10,"Depleted"
"d4f55b265b00d6a112a6f5cb4d71d0f4","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Butyricimonas.1",NA,"1.0000000",1.09699740132658,-3.80678139653064,0.528430125325524,-7.20394469218723,5.84951008519295e-13,2.17341796943169e-10,"Depleted"
"ac79266fe73f5c640102025f73bfb0e4","d__Bacteria","p__Bacillota_C","c__Negativicutes","o__Veillonellales","f__Dialisteraceae","g__Allisonella","s__Allisonella histaminiformans","0.9871367",1.2870854017123,-3.58439240196291,0.660160003423309,-5.42958128843883,5.64864202903605e-08,1.4530045342382e-05,"Depleted"
"2b0e0530d7640b41e0b2b7b74528990f","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides_B_862066","s__Parabacteroides_B_862066 acidifaciens","0.9987472",1.28173802959997,-3.58438769635549,0.861782861621238,-4.15927010849615,3.19266172963495e-05,0.00464185253213011,"Depleted"
"80d62eed3c5c64ced5ba6102de8be674","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__TANB77","f__CAG-508","g__CAG-269","s__CAG-269 sp000431335","0.9992021",1.34673462961393,-3.58438733022751,0.896658555843891,-3.9974941485436,6.40165729865101e-05,0.0085628568026756,"Depleted"
"68138d2951e5a29708ac21c4bad8cb83","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","g__Eubacterium_G_180878","s__Eubacterium_G_180878 ventriosum","0.9149819",1.05899870432334,-3.32135450097597,0.570663217092651,-5.82016573259657,5.87893043538506e-09,1.63826194799397e-06,"Depleted"
"45d30aba9dfda6e2d5a61b93e443e203","d__Bacteria","p__Actinomycetota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Adlercreutzia_A_404257","s__Adlercreutzia_A_404257 equolifaciens","0.9999532",1.20563711876023,-3.16935096274163,0.691725329000944,-4.581805566263,4.60978402928968e-06,0.000856395432996928,"Depleted"
"be9d253bffad8725298a89394b1e8408","d__Bacteria","p__Verrucomicrobiota","c__Lentisphaeria","o__Victivallales","f__UBA1829","g__UBA1732","s__","1.0000000",1.04814193375098,-2.9994263358328,0.612029115626665,-4.90079027165504,9.54519124557446e-07,0.000227993710894293,"Depleted"
"8d25eb5fdfac8470e166af75ddb44b05","d__Bacteria","p__Fusobacteriota","c__Fusobacteriia","o__Fusobacteriales","f__Fusobacteriaceae","g__Fusobacterium_C",NA,"1.0000000",1.0590077057871,-2.99942632629921,0.614632132279551,-4.88003501407407,1.06067007818647e-06,0.000236458716097038,"Depleted"
"0e3e946c966b130afc1c6f19bbdd9126","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Christensenellales","f__Aristaeellaceae","g__Limiplasma","s__Limiplasma merdipullorum","0.9999801",1.08614063075423,-2.99942629489031,0.62314968724881,-4.81333194297618,1.48434431087766e-06,0.000310227960973432,"Depleted"
"04570cd0aca28e525ff3684c884bd6d2","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Christensenellales","f__Borkfalkiaceae","g__Borkfalkia","s__Borkfalkia ceftriaxoniphila","0.9996275",1.12956771304365,-2.99942625961707,0.641325819661123,-4.67691486552338,2.91223089497474e-06,0.000572852947811503,"Depleted"
"2f4bb9ce7252d7c901cc66ca40572356","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__CAG-272","g__Avispirillum","s__Avispirillum sp011957885","0.9999993",1.25443857755326,-2.99942591831504,0.741666239990099,-4.04417210409237,5.25083384392503e-05,0.00731616182253554,"Depleted"
"8fe56d5775b5143a723fab4ccb77aafe","d__Bacteria","p__Bacillota_I","c__Bacilli_A","o__RF39","f__UBA660","g__RUG13038","s__","0.9999965",1.18386956883295,-2.94695304129889,0.657726580911794,-4.48051382873045,7.44635548238589e-06,0.00124503063665492,"Depleted"
"427c3ca5187885cd9cfe277bd273a322","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__TANB77","f__CAG-508","g__Merdicola","s__","0.7443285",1.0427135484648,-2.80678121293091,0.640528950947297,-4.38197400567121,1.1760884381172e-05,0.0018727808271733,"Depleted"
"c233d314ea15f75b73693439c94a815c","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Peptostreptococcales","f__Anaerovoracaceae","Unknown_f__Anaerovoracaceae",NA,"0.9999914",1.14585286890218,-2.80678093478026,0.713961831406616,-3.93127589082804,8.4496239465111e-05,0.0108675163373589,"Depleted"
"042cb3ddcc1237a0c441e4bc24b7e27b","d__Bacteria","p__Bacteroidota","c__Bacteroidia",NA,NA,"Unknown_NA",NA,"0.9079214",1.30875843627009,-2.77706566963249,0.771505200323797,-3.59954238606164,0.000318777671552489,0.0367583632300525,"Depleted"
"8f01ee037d4ec25b0a66b2da3895e4a5","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__Oscillibacter","s__Oscillibacter ruminantium","0.8442554",1.03728516317863,-2.5843887389106,0.677066343927986,-3.81703914555452,0.000135062747860736,0.0161303510302251,"Depleted"
