"ASV","Domain","Phylum","Class","Order","Family","Genus","Species","Confidence","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction"
"68138d2951e5a29708ac21c4bad8cb83","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","g__Eubacterium_G_180878","s__Eubacterium_G_180878 ventriosum","0.9149819",1.05899870432334,3.32103065215003,0.874890671341482,3.79593789365458,0.000147086320583028,0.0221456841427822,"Enriched"
"ac79266fe73f5c640102025f73bfb0e4","d__Bacteria","p__Bacillota_C","c__Negativicutes","o__Veillonellales","f__Dialisteraceae","g__Allisonella","s__Allisonella histaminiformans","0.9871367",1.2870854017123,3.69954170089067,0.956676828126843,3.86707568545828,0.000110148250720043,0.0189533668560417,"Enriched"
"d4f55b265b00d6a112a6f5cb4d71d0f4","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Butyricimonas",NA,"1.0000000",1.09699740132658,3.80645752004679,0.849485417035671,4.4808980162716,7.43296248371086e-06,0.00179060066232595,"Enriched"
"f8d65540d8bb81ccae258425d43a6155","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes_A_871400","s__Alistipes_A_871400 timonensis","0.9993105",1.08071224546805,3.80645756460443,0.845114669042793,4.50407229224379,6.6663512248606e-06,0.00178436001118769,"Enriched"
"34fd512390f8b083b6d093d693de5473","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Acutalibacteraceae","g__UBA5905","s__","0.7333122",1.17306680704316,3.9059929395397,0.896795192461687,4.35550164895266,1.32762517422457e-05,0.0029074991315518,"Enriched"
"4033b008d2d0d3a9f0e71008a133a132","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__TANB77","f__CAG-508","g__","s__","0.9984453",1.08614063075423,3.90599325133314,0.840561153504922,4.64688765956666,3.3698055737017e-06,0.00101473270338093,"Enriched"
"62f7062187df4e74e8fbb65d3c0891ce","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella","s__Prevotella buccae","1.0000000",1.09156451530852,4.08656553156475,0.832270716882915,4.91013975220715,9.10115082620532e-07,0.000365411205672144,"Enriched"
"4807c543021fb97583c4871d279585cc","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__Evtepia","s__","0.9822714",1.16213802476072,4.16902751704939,0.859807388985094,4.84879238124536,1.24215344072088e-06,0.000427478234099513,"Enriched"
"b08cd098e763541173fe2c64df5aafd7","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","g__COE1","s__","0.9998934",1.12959021670305,4.16902758879068,0.840912303853288,4.95774359548203,7.13165962338729e-07,0.0003436033606548,"Enriched"
"cbe92eb8bf470dbf865ba6f2509d5f3b","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Butyricicoccaceae","g__Agathobaculum","s__Agathobaculum butyriciproducens","0.9943399",1.14042448361601,4.6429588794389,0.822051031748465,5.64801782386129,1.62308352916089e-08,1.3033360739162e-05,"Enriched"
"ec3408f8cb9d0be6d4f04afad3550d7c","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinilabiliaceae","g__JC017","s__JC017 sp004296775","0.7606843",1.61286503132494,5.08656117717732,1.3282822289213,3.82942801343367,0.000128441447207836,0.0206276964215785,"Enriched"
"1b260463075d6373000c7f7c5c0a51bc","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Butyricimonas.1","s__Butyricimonas synergistica","0.9999947",1.38470182149401,5.28450287924048,1.0654676125976,4.95979682231438,7.0566947184564e-07,0.0003436033606548,"Enriched"
"752ca518b7ce839b6b650d65758f5edf","d__Bacteria","p__Bacillota_C","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium_A_40086","s__Phascolarctobacterium_A_40086 faecium","0.9967400",1.47698437135903,6.44204560270771,0.867620027126799,7.42496185114712,1.1281242530941e-13,1.35882566285185e-10,"Enriched"
"0f6a347633b7f4d1244f1f2d792529a0","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Ruminococcaceae","g__Huintestinicola","s__Huintestinicola butyrica","1.0000000",2.93179162805471,7.5226492062689,1.78241678583446,4.22047708821765,2.43785834711512e-05,0.00489400063183361,"Enriched"
"b0bae502e8b3ce1b53e1be63fdf3a04b","d__Bacteria","p__Bacillota_C","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium_A_40086.1","s__Phascolarctobacterium_A_40086 faecium","0.9993589",3.53444141092182,7.83197350307836,1.98805568076651,3.9395141589086,8.16467836590196e-05,0.0151297770641983,"Enriched"
"3f815af7ffc5e71f9205177b8e113ca0","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Lepagella","s__Lepagella muris_A","0.9991734",11.6606351682287,10.9379445758135,0.941645370734871,11.6157790562677,3.42650794632334e-31,8.25445764269292e-28,"Enriched"
