"ASV","Domain","Phylum","Class","Order","Family","Genus","Species","Confidence","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction"
"97be8a60ed24356338e1b4ccc2268606","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__","g__","s__","0.9999978",1.17300379679683,2.46143648301377,0.681514506193968,3.61171546701195,0.000304178203744695,0.049039229784965,"Enriched"
"c233d314ea15f75b73693439c94a815c","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Peptostreptococcales","f__Anaerovoracaceae","Unknown_f__Anaerovoracaceae",NA,"0.9999914",1.14585286890218,2.53035940340641,0.662137777766866,3.8214998273325,0.000132642506901715,0.0244393818966411,"Enriched"
"8f01ee037d4ec25b0a66b2da3895e4a5","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__Oscillibacter","s__Oscillibacter ruminantium","0.8442554",1.03728516317863,2.58429076078991,0.627769054453665,4.11662655630416,3.8445825982155e-05,0.0079336806496775,"Enriched"
"17ddbcc9f92a184613fcd78b63e7879e","d__Bacteria","p__Bacillota_G","c__DTU014","o__DTU014","f__DTU014","g__DTU014","s__","1.0000000",1.30870442748752,2.68384241825719,0.721245167161883,3.72112360741102,0.000198338320661803,0.0341075798764747,"Enriched"
"2f4bb9ce7252d7c901cc66ca40572356","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__CAG-272","g__Avispirillum","s__Avispirillum sp011957885","0.9999993",1.25443857755326,2.74972475905487,0.690534240281416,3.98202521852394,6.83305274412256e-05,0.0135583535026647,"Enriched"
"45d30aba9dfda6e2d5a61b93e443e203","d__Bacteria","p__Actinomycetota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Adlercreutzia_A_404257","s__Adlercreutzia_A_404257 equolifaciens","0.9999532",1.20563711876023,2.77846277559902,0.63615331593866,4.36759929719038,1.25619689749854e-05,0.00308605704485474,"Enriched"
"427c3ca5187885cd9cfe277bd273a322","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__TANB77","f__CAG-508","g__Merdicola","s__","0.7443285",1.0427135484648,2.80668323481097,0.588141977246256,4.77211854177143,1.82298151136269e-06,0.000470238080856005,"Enriched"
"04570cd0aca28e525ff3684c884bd6d2","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Christensenellales","f__Borkfalkiaceae","g__Borkfalkia","s__Borkfalkia ceftriaxoniphila","0.9996275",1.12956771304365,2.87647326163661,0.586450692216951,4.9048850991423,9.34820452903878e-07,0.000267929928696172,"Enriched"
"8d25eb5fdfac8470e166af75ddb44b05","d__Bacteria","p__Fusobacteriota","c__Fusobacteriia","o__Fusobacteriales","f__Fusobacteriaceae","g__Fusobacterium_C",NA,"1.0000000",1.0590077057871,2.96761932544249,0.559255565762633,5.30637423589281,1.11827252287296e-07,3.84611196366772e-05,"Enriched"
"0e3e946c966b130afc1c6f19bbdd9126","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Christensenellales","f__Aristaeellaceae","g__Limiplasma","s__Limiplasma merdipullorum","0.9999801",1.08614063075423,2.99932831677841,0.568773376176687,5.27332755435915,1.33972137224203e-07,4.31976409962288e-05,"Enriched"
"be9d253bffad8725298a89394b1e8408","d__Bacteria","p__Verrucomicrobiota","c__Lentisphaeria","o__Victivallales","f__UBA1829","g__UBA1732","s__","1.0000000",1.04814193375098,2.99932835771365,0.556929240338852,5.38547474341402,7.22536809112262e-08,2.66254814157869e-05,"Enriched"
"8fe56d5775b5143a723fab4ccb77aafe","d__Bacteria","p__Bacillota_I","c__Bacilli_A","o__RF39","f__UBA660","g__RUG13038","s__","0.9999965",1.18386956883295,3.0611963053894,0.613189917754492,4.99224826885533,5.96804713239972e-07,0.00018111267738853,"Enriched"
"80d62eed3c5c64ced5ba6102de8be674","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__TANB77","f__CAG-508","g__CAG-269","s__CAG-269 sp000431335","0.9992021",1.34673462961393,3.09891235710229,0.847254401250636,3.65759369621211,0.000254594203951476,0.0423694031672795,"Enriched"
"042cb3ddcc1237a0c441e4bc24b7e27b","d__Bacteria","p__Bacteroidota","c__Bacteroidia",NA,NA,"Unknown_NA",NA,"0.9079214",1.30875843627009,3.12662074915403,0.73915415715968,4.22999819302726,2.33693189046213e-05,0.00524183983604092,"Enriched"
"68138d2951e5a29708ac21c4bad8cb83","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","g__Eubacterium_G_180878","s__Eubacterium_G_180878 ventriosum","0.9149819",1.05899870432334,3.32125652285847,0.51103403928656,6.49909060362237,8.08069864879551e-11,3.474027027428e-08,"Enriched"
"ac79266fe73f5c640102025f73bfb0e4","d__Bacteria","p__Bacillota_C","c__Negativicutes","o__Veillonellales","f__Dialisteraceae","g__Allisonella","s__Allisonella histaminiformans","0.9871367",1.2870854017123,3.38426843113289,0.607126756872245,5.57423699882334,2.48617085384081e-08,9.86627341151133e-06,"Enriched"
"2b0e0530d7640b41e0b2b7b74528990f","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides_B_862066","s__Parabacteroides_B_862066 acidifaciens","0.9987472",1.28173802959997,3.5215497994154,0.814821984700017,4.32186399672547,1.54716550925951e-05,0.00362810311921355,"Enriched"
"34fd512390f8b083b6d093d693de5473","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Acutalibacteraceae","g__UBA5905","s__","0.7333122",1.17306680704316,3.67014656924528,0.525163975327243,6.98857260145903,2.77696964338464e-12,1.43263863902213e-09,"Enriched"
"d4f55b265b00d6a112a6f5cb4d71d0f4","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Butyricimonas",NA,"1.0000000",1.09699740132658,3.80668342252024,0.462984764593313,8.22204900384581,2.00055407968786e-16,1.14676205523441e-13,"Enriched"
"f8d65540d8bb81ccae258425d43a6155","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes_A_871400","s__Alistipes_A_871400 timonensis","0.9993105",1.08071224546805,3.80668343515904,0.456468736701186,8.33941764044835,7.46572926149011e-17,4.81446215750344e-14,"Enriched"
"4033b008d2d0d3a9f0e71008a133a132","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__TANB77","f__CAG-508","g__.1","s__","0.9984453",1.08614063075423,3.90621912184625,0.447504997365828,8.72888379982265,2.5719830530206e-18,2.21147676175554e-15,"Enriched"
"4807c543021fb97583c4871d279585cc","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__Evtepia","s__","0.9822714",1.16213802476072,4.00289811958747,0.468821744349573,8.53820917615703,1.36317985042043e-17,1.00466354975985e-14,"Enriched"
"62f7062187df4e74e8fbb65d3c0891ce","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella","s__Prevotella buccae","1.0000000",1.09156451530852,4.08679139103825,0.431187723701171,9.47798642307949,2.59237007012026e-21,3.34350929793761e-18,"Enriched"
"b08cd098e763541173fe2c64df5aafd7","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","g__COE1","s__","0.9998934",1.12959021670305,4.16925351190914,0.443078612576824,9.40973767084333,4.97376698795745e-21,5.13193277817449e-18,"Enriched"
"94d5c2c2f9432927d7faf1b376da1e34","d__Bacteria","p__Bacillota_I","c__Bacilli_A","o__RF39","f__UBA660","g__UMGS1449","s__UMGS1449 sp902797995","0.9999999",1.93296873539798,4.41850099636517,1.1778666038139,3.75127453487363,0.000175937924127631,0.0312987500198085,"Enriched"
"cbe92eb8bf470dbf865ba6f2509d5f3b","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Butyricicoccaceae","g__Agathobaculum","s__Agathobaculum butyriciproducens","0.9943399",1.14042448361601,4.64318474949751,0.405906118325426,11.4390607578251,2.66757712228679e-30,4.58734345795918e-27,"Enriched"
"1b260463075d6373000c7f7c5c0a51bc","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Butyricimonas.1","s__Butyricimonas synergistica","0.9999947",1.38470182149401,4.85775725300691,0.724410456056631,6.70580775359095,2.0029527709645e-11,9.39384849582352e-09,"Enriched"
"ec3408f8cb9d0be6d4f04afad3550d7c","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinilabiliaceae","g__JC017","s__JC017 sp004296775","0.7606843",1.61286503132494,4.87817657095297,1.01880498383002,4.78813575549495,1.68337763204436e-06,0.000457081326511414,"Enriched"
"0f6a347633b7f4d1244f1f2d792529a0","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Ruminococcaceae","g__Huintestinicola","s__Huintestinicola butyrica","1.0000000",2.93179162805471,6.07252651479352,1.46954866200682,4.13223915055719,3.59246353488536e-05,0.00772229974019733,"Enriched"
"752ca518b7ce839b6b650d65758f5edf","d__Bacteria","p__Bacillota_C","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium_A_40086","s__Phascolarctobacterium_A_40086 faecium","0.9967400",1.47698437135903,6.44227147040376,0.464438059267293,13.8711101337544,9.47981556178276e-44,2.44531842416186e-40,"Enriched"
"b0bae502e8b3ce1b53e1be63fdf3a04b","d__Bacteria","p__Bacillota_C","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium_A_40086.1","s__Phascolarctobacterium_A_40086 faecium","0.9993589",3.53444141092182,6.46638992162053,1.66938410206063,3.87351833148443,0.00010727533350297,0.0204975350200674,"Enriched"
"3f815af7ffc5e71f9205177b8e113ca0","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Lepagella","s__Lepagella muris_A","0.9991734",11.6606351682287,10.9381704410599,0.5653927643562,19.3461450705245,2.19670698585942e-83,1.13328113400487e-79,"Enriched"
